Maç_Kodu;Lig;Tarih;Saat;Maç;MBS;MS_1;MS_X;MS_2;Alt_2_5;Üst_2_5;HND;HND_1;HND_X;HND_2;ÇS_1X;ÇS_12;ÇS_X2;KG_Var;KG_Yok;Market_Sayısı;İstatistik_Link
2654764;İspanya La Liga;Bugün;23:00;Real Madrid - R. Sociedad;1;1.22;4.70;6.59;2.18;1.39;0:1;1.75;3.45;2.64;;;2.63;1.62;1.77;1007;https://istatistik.nesine.com/2654764
2648224;Hollanda Eredivisie;Bugün;23:00;Groningen - Utrecht;1;1.73;3.10;3.59;1.61;1.80;0:1;3.09;3.38;1.62;1.12;1.17;1.64;1.67;1.72;672;https://istatistik.nesine.com/2648224
2664830;İngiltere Federasyon Kupası;Bugün;23:00;Liverpool - Brighton;1;1.33;4.32;5.03;2.30;1.34;0:1;1.97;3.50;2.24;;1.06;2.25;1.47;2.01;581;https://istatistik.nesine.com/2664830
2631201;Arjantin Primera Nacional;Bugün;23:00;Acassuso - Chaco For Ever;3;2.40;2.35;2.68;;;0:1;5.71;3.45;1.24;1.19;1.27;1.25;2.17;1.33;40;https://istatistik.nesine.com/2631201
2693677;Dep. Moron - Defensores B.;Bugün;23:00;Dep. Moron - Defensores B.;3;1.89;2.36;3.81;;;0:1;4.28;2.91;1.44;1.06;1.26;1.43;2.63;1.20;40;https://istatistik.nesine.com/2693677
2713940;San Telmo - Ferro Carril Oeste;Bugün;23:00;San Telmo - Ferro Carril Oeste;3;2.37;2.53;2.52;;;0:1;5.52;3.46;1.25;1.22;1.22;1.26;2.05;1.38;40;https://istatistik.nesine.com/2713940
2713973;All Boys - Mitre Santia;Bugün;23:00;All Boys - Mitre Santia;3;1.97;2.42;3.39;;;0:1;4.34;3.09;1.40;1.10;1.25;1.40;2.28;1.29;40;https://istatistik.nesine.com/2713973
2654434;İspanya 2. Lig;Bugün;23:00;Granada - Real Valladolid;1;1.89;2.81;3.39;1.34;2.29;0:1;3.80;3.27;1.49;1.13;1.21;1.52;1.96;1.49;402;https://istatistik.nesine.com/2654434
2653968;İspanya Primera RFEF;Bugün;23:00;Gimnastic - Betis D. Balompie;3;1.54;2.98;4.37;1.37;2.06;0:1;2.75;2.98;1.75;;1.14;1.71;1.95;1.43;97;https://istatistik.nesine.com/2653968
2742713;Saint Kitts ve Nevis Premier Ligi;Bugün;23:00;Newtown Utd - Rams Village Superstars;;;;;;;;;;;;;;;;50;https://istatistik.nesine.com/2742713
2720775;Uruguay Prmr Lig, Açılış;Bugün;23:00;D. Maldonado - CA Progreso;3;2.18;2.77;2.52;1.40;2.00;;;;;;;;1.73;1.57;12;https://istatistik.nesine.com/2720775
