Maç_Kodu;Güncel_Maç;Hakem_Adı;Lig;Tarih;Ev_Sahibi;Deplasman;MS;İY;Oran_1;Oran_1_Geldi;Oran_X;Oran_X_Geldi;Oran_2;Oran_2_Geldi;Oran_Alt;Oran_Alt_Geldi;Oran_Üst;Oran_Üst_Geldi
2654764;Real Madrid - R. Sociedad;Francisco Jose Hernandez Maeso;İSP;24.01.2026;Sevilla;Ath. Bilbao;2 - 1;1-1;2.61;Evet;2.76;Hayır;2.30;Hayır;1.44;Hayır;2.06;Evet
2654764;Real Madrid - R. Sociedad;Francisco Jose Hernandez Maeso;İSPKK;14.01.2026;Alaves;Vallecano;2 - 0;0-0;2.28;Evet;2.58;Hayır;2.57;Hayır;1.28;Evet;2.30;Hayır
2654764;Real Madrid - R. Sociedad;Francisco Jose Hernandez Maeso;İSP;09.01.2026;Getafe;R. Sociedad;1 - 2;0-1;3.01;Hayır;2.57;Hayır;2.17;Evet;1.21;Hayır;2.82;Evet
2654764;Real Madrid - R. Sociedad;Francisco Jose Hernandez Maeso;İSP;20.12.2025;Real Oviedo;Celta Vigo;0 - 0;0-0;3.29;Hayır;3.05;Evet;1.82;Hayır;1.47;Evet;2.00;Hayır
2654764;Real Madrid - R. Sociedad;Francisco Jose Hernandez Maeso;İSP;06.12.2025;Real Betis;Barcelona;3 - 5;1-4;3.54;Hayır;3.93;Hayır;1.55;Evet;2.76;Hayır;1.22;Evet
2654764;Real Madrid - R. Sociedad;Francisco Jose Hernandez Maeso;İSP;23.11.2025;Elche;Real Madrid;2 - 2;0-0;6.77;Hayır;4.74;Evet;1.22;Hayır;2.22;Hayır;1.37;Evet
2654764;Real Madrid - R. Sociedad;Francisco Jose Hernandez Maeso;İSPKK;28.10.2025;UD Maracena;Valencia;0 - 5;0-0;17.45;Hayır;14.50;Hayır;1.00;Evet;7.55;Hayır;1.00;Evet
2654764;Real Madrid - R. Sociedad;Francisco Jose Hernandez Maeso;İSP;26.09.2025;Girona;Espanyol;0 - 0;0-0;2.13;Hayır;2.93;Evet;2.58;Hayır;1.65;Evet;1.69;Hayır
2654764;Real Madrid - R. Sociedad;Francisco Jose Hernandez Maeso;İSP;21.09.2025;Mallorca;Atl. Madrid;1 - 1;0-0;4.38;Hayır;3.17;Evet;1.53;Hayır;1.48;Evet;1.93;Hayır
2654764;Real Madrid - R. Sociedad;Francisco Jose Hernandez Maeso;İSP;17.08.2025;Ath. Bilbao;Sevilla;3 - 2;2-0;1.39;Evet;3.47;Hayır;5.27;Hayır;1.53;Hayır;1.84;Evet
2654764;Real Madrid - R. Sociedad;Francisco Jose Hernandez Maeso;İSP;18.05.2025;Osasuna;Espanyol;2 - 0;1-0;1.77;Evet;2.87;Hayır;3.32;Hayır;1.49;Evet;1.85;Hayır
2654764;Real Madrid - R. Sociedad;Francisco Jose Hernandez Maeso;İSP;09.05.2025;Las Palmas;Vallecano;0 - 1;0-0;2.14;Hayır;2.91;Hayır;2.70;Evet;1.55;Evet;1.87;Hayır
2654764;Real Madrid - R. Sociedad;Francisco Jose Hernandez Maeso;İSP;24.04.2025;Real Betis;R.Valladolid;5 - 1;1-1;1.10;Evet;5.68;Hayır;10.40;Hayır;2.24;Hayır;1.36;Evet
2654764;Real Madrid - R. Sociedad;Francisco Jose Hernandez Maeso;İSP;12.04.2025;Leganes;Barcelona;0 - 1;0-0;1.00;Hayır;1.00;Hayır;1.00;Evet;1.00;Evet;1.00;Hayır
2654764;Real Madrid - R. Sociedad;Francisco Jose Hernandez Maeso;İSP;30.03.2025;Valencia;Mallorca;1 - 0;0-0;1.82;Evet;2.81;Hayır;3.52;Hayır;1.32;Evet;2.31;Hayır
2654764;Real Madrid - R. Sociedad;Francisco Jose Hernandez Maeso;İSP;09.03.2025;Real Madrid;Vallecano;2 - 1;2-1;1.14;Evet;5.25;Hayır;8.38;Hayır;2.18;Hayır;1.37;Evet
2654764;Real Madrid - R. Sociedad;Francisco Jose Hernandez Maeso;İSP;23.02.2025;R. Sociedad;Leganes;3 - 0;1-0;1.37;Evet;3.38;Hayır;6.20;Hayır;1.36;Hayır;2.21;Evet
2654764;Real Madrid - R. Sociedad;Francisco Jose Hernandez Maeso;İSP;08.02.2025;Las Palmas;Villarreal;1 - 2;0-0;3.62;Hayır;3.34;Hayır;1.63;Evet;1.96;Hayır;1.48;Evet
2654764;Real Madrid - R. Sociedad;Francisco Jose Hernandez Maeso;İSP;27.01.2025;Alaves;Celta Vigo;1 - 1;1-0;2.45;Hayır;2.63;Evet;2.50;Hayır;1.48;Evet;1.96;Hayır
2654764;Real Madrid - R. Sociedad;Francisco Jose Hernandez Maeso;İSPKK;16.01.2025;R. Sociedad;Vallecano;3 - 1;2-1;1.48;Evet;3.22;Hayır;5.01;Hayır;1.49;Hayır;1.93;Evet
2648224;Groningen - Utrecht;Serdar Gozubuyuk;HOL;06.02.2026;NAC Breda;Excelsior;0 - 2;0-2;1.72;Hayır;3.23;Hayır;3.46;Evet;1.79;Evet;1.61;Hayır
2648224;Groningen - Utrecht;Serdar Gozubuyuk;HOL;31.01.2026;AZ Alkmaar;NEC Nijmegen;1 - 3;1-2;1.58;Hayır;3.80;Hayır;3.52;Evet;2.48;Hayır;1.29;Evet
2648224;Groningen - Utrecht;Serdar Gozubuyuk;HOL;25.01.2026;Feyenoord;Heracles;4 - 2;2-1;1.10;Evet;6.10;Hayır;9.34;Hayır;2.95;Hayır;1.19;Evet
2648224;Groningen - Utrecht;Serdar Gozubuyuk;ŞL;21.01.2026;Juventus;Benfica;2 - 0;0-0;1.61;Evet;3.23;Hayır;4.03;Hayır;1.65;Evet;1.74;Hayır
2648224;Groningen - Utrecht;Serdar Gozubuyuk;HOL;17.01.2026;Ajax;Go Ahead;2 - 2;2-0;1.30;Hayır;4.46;Evet;5.34;Hayır;2.60;Hayır;1.26;Evet
2648224;Groningen - Utrecht;Serdar Gozubuyuk;HOLK;13.01.2026;Utrecht;Twente;1 - 2;1-0;2.08;Hayır;3.03;Hayır;2.48;Evet;1.74;Hayır;1.56;Evet
2648224;Groningen - Utrecht;Serdar Gozubuyuk;HOL;10.01.2026;Groningen;NAC Breda;0 - 0;0-0;1.50;Hayır;3.52;Evet;4.30;Hayır;1.83;Evet;1.58;Hayır
2648224;Groningen - Utrecht;Serdar Gozubuyuk;SA;26.12.2025;Al Hilal;Al Khaleej;3 - 2;2-0;1.00;Evet;6.17;Hayır;9.90;Hayır;2.91;Hayır;1.14;Evet
2648224;Groningen - Utrecht;Serdar Gozubuyuk;HOL;14.12.2025;Ajax;Feyenoord;2 - 0;1-0;2.72;Evet;3.42;Hayır;1.92;Hayır;2.18;Evet;1.39;Hayır
2648224;Groningen - Utrecht;Serdar Gozubuyuk;ŞL;10.12.2025;B.Leverkusen;Newcastle U.;2 - 2;1-0;2.46;Hayır;3.17;Evet;2.18;Hayır;1.87;Hayır;1.55;Evet
2648224;Groningen - Utrecht;Serdar Gozubuyuk;HOL;06.12.2025;Heerenveen;PSV;0 - 2;0-2;4.34;Hayır;4.45;Hayır;1.38;Evet;3.10;Evet;1.17;Hayır
2648224;Groningen - Utrecht;Serdar Gozubuyuk;HOL;29.11.2025;Excelsior;NAC Breda;1 - 0;1-0;2.02;Evet;3.16;Hayır;2.70;Hayır;1.90;Evet;1.53;Hayır
2648224;Groningen - Utrecht;Serdar Gozubuyuk;HOL1;21.11.2025;SC Cambuur;ADO Den Haag;2 - 0;0-0;3.11;Evet;3.42;Hayır;1.67;Hayır;2.09;Evet;1.35;Hayır
2648224;Groningen - Utrecht;Serdar Gozubuyuk;HOL;09.11.2025;AZ Alkmaar;PSV;1 - 5;1-3;2.63;Hayır;3.52;Hayır;1.89;Evet;2.51;Hayır;1.26;Evet
2648224;Groningen - Utrecht;Serdar Gozubuyuk;SA;06.11.2025;Al Qadisiyah;AL Khlood;4 - 0;1-0;1.23;Evet;4.15;Hayır;5.77;Hayır;1.91;Hayır;1.42;Evet
2648224;Groningen - Utrecht;Serdar Gozubuyuk;HOL;02.11.2025;Utrecht;NEC Nijmegen;1 - 0;1-0;1.83;Evet;3.19;Hayır;3.00;Hayır;2.10;Evet;1.40;Hayır
2648224;Groningen - Utrecht;Serdar Gozubuyuk;HOL;26.10.2025;Twente;Ajax;2 - 3;1-0;2.11;Hayır;3.25;Hayır;2.43;Evet;2.09;Hayır;1.40;Evet
2648224;Groningen - Utrecht;Serdar Gozubuyuk;ŞL;21.10.2025;Villarreal;Man. City;0 - 2;0-2;3.91;Hayır;3.59;Hayır;1.52;Evet;2.03;Evet;1.43;Hayır
2648224;Groningen - Utrecht;Serdar Gozubuyuk;DÜN;11.10.2025;Estonya;İtalya;1 - 3;0-2;17.45;Hayır;9.51;Hayır;1.00;Evet;2.48;Hayır;1.27;Evet
2648224;Groningen - Utrecht;Serdar Gozubuyuk;ŞL;01.10.2025;Karabağ;Kopenhag;2 - 0;1-0;2.34;Evet;3.04;Hayır;2.26;Hayır;1.75;Evet;1.60;Hayır
2664830;Liverpool - Brighton;Stuart Attwell;İNP;07.02.2026;Fulham;Everton;1 - 2;1-0;1.87;Hayır;2.92;Hayır;3.31;Evet;1.47;Hayır;1.99;Evet
2664830;Liverpool - Brighton;Stuart Attwell;İNP;31.01.2026;Leeds Utd;Arsenal;0 - 4;0-2;5.53;Hayır;3.80;Hayır;1.36;Evet;1.70;Hayır;1.69;Evet
2664830;Liverpool - Brighton;Stuart Attwell;İNP;07.01.2026;Burnley;Man. Utd;2 - 2;1-0;4.02;Hayır;3.52;Evet;1.54;Hayır;1.89;Hayır;1.54;Evet
2664830;Liverpool - Brighton;Stuart Attwell;İNP;04.01.2026;Tottenham;Sunderland;1 - 1;1-0;1.61;Hayır;3.28;Evet;3.95;Hayır;1.63;Evet;1.75;Hayır
