Maç_Kodu;Güncel_Maç;Lig;Tarih;Ev_Sahibi;Deplasman;MS;İY;Oran_1;Oran_1_Geldi;Oran_X;Oran_X_Geldi;Oran_2;Oran_2_Geldi;Oran_Alt;Oran_Alt_Geldi;Oran_Üst;Oran_Üst_Geldi
2654764;Real Madrid - R. Sociedad;İSP;13.09.2025;R. Sociedad;Real Madrid;1 - 2;0-2;4.63;Hayır;3.74;Hayır;1.40;Evet;1.84;Hayır;1.54;Evet
2654764;Real Madrid - R. Sociedad;İSP;24.05.2025;Real Madrid;R. Sociedad;2 - 0;1-0;1.25;Evet;4.28;Hayır;5.44;Hayır;2.28;Evet;1.28;Hayır
2654764;Real Madrid - R. Sociedad;İSPKK;01.04.2025;Real Madrid;R. Sociedad;3 - 4;1-1;1.20;Hayır;4.81;Hayır;7.13;Evet;2.16;Hayır;1.39;Evet
2654764;Real Madrid - R. Sociedad;İSPKK;26.02.2025;R. Sociedad;Real Madrid;0 - 1;0-1;3.63;Hayır;3.34;Hayır;1.63;Evet;1.73;Evet;1.64;Hayır
2654764;Real Madrid - R. Sociedad;İSP;14.09.2024;R. Sociedad;Real Madrid;0 - 2;0-0;4.08;Hayır;3.37;Hayır;1.54;Evet;1.66;Evet;1.70;Hayır
2654764;Real Madrid - R. Sociedad;İSP;26.04.2024;R. Sociedad;Real Madrid;0 - 1;0-1;2.32;Hayır;2.90;Hayır;2.40;Evet;1.53;Evet;1.85;Hayır
2648224;Groningen - Utrecht;HOL;14.09.2025;Utrecht;Groningen;0 - 1;0-0;1.58;Hayır;3.44;Hayır;3.69;Evet;1.92;Evet;1.48;Hayır
2648224;Groningen - Utrecht;HOL;13.04.2025;Utrecht;Groningen;3 - 1;3-1;1.57;Evet;3.38;Hayır;4.05;Hayır;1.65;Hayır;1.72;Evet
2648224;Groningen - Utrecht;HOL;20.10.2024;Groningen;Utrecht;0 - 1;0-1;2.74;Hayır;3.16;Hayır;1.96;Evet;1.78;Evet;1.58;Hayır
2648224;Groningen - Utrecht;HOL;07.04.2023;Groningen;Utrecht;1 - 2;1-1;2.87;Hayır;3.01;Hayır;1.92;Evet;1.90;Hayır;1.50;Evet
2648224;Groningen - Utrecht;HAZ;23.12.2022;Utrecht;Groningen;0 - 3;0-2;;Hayır;;Hayır;;Hayır;;Hayır;;Hayır
2648224;Groningen - Utrecht;HOL;06.11.2022;Utrecht;Groningen;2 - 1;0-1;1.54;Evet;3.37;Hayır;3.89;Hayır;1.91;Hayır;1.50;Evet
2664830;Liverpool - Brighton;İNP;13.12.2025;Liverpool;Brighton;2 - 0;1-0;1.49;Evet;3.75;Hayır;4.07;Hayır;2.23;Evet;1.37;Hayır
