Maç_Kodu;Güncel_Maç;Takım;Takım_Tipi;Lig;Tarih;Ev_Sahibi;Deplasman;MS;İY;Sonuç
2648224;Groningen - Utrecht;Groningen;Ev Sahibi;HOL;8 Şub;Groningen;PSV;1 - 2;1-0;Mağlubiyet
2648224;Groningen - Utrecht;Groningen;Ev Sahibi;HOL;31 Oca;S. Rotterdam;Groningen;2 - 0;0-0;Mağlubiyet
2648224;Groningen - Utrecht;Groningen;Ev Sahibi;HOL;25 Oca;Groningen;F. Sittard;1 - 2;1-2;Mağlubiyet
2648224;Groningen - Utrecht;Groningen;Ev Sahibi;HOL;18 Oca;Heerenveen;Groningen;0 - 2;0-0;Galibiyet
2648224;Groningen - Utrecht;Groningen;Ev Sahibi;HOL;10 Oca;Groningen;NAC Breda;0 - 0;0-0;Beraberlik
2648224;Groningen - Utrecht;Groningen;Ev Sahibi;HAZ;6 Oca;Groningen;Bodo Glimt;;0-2;
2648224;Groningen - Utrecht;Utrecht;Deplasman;HOL;11 Şub;NEC Nijmegen;Utrecht;1 - 3;0-2;Galibiyet
2648224;Groningen - Utrecht;Utrecht;Deplasman;HOL;8 Şub;Utrecht;Feyenoord;0 - 1;0-1;Mağlubiyet
2648224;Groningen - Utrecht;Utrecht;Deplasman;HOL;1 Şub;Heerenveen;Utrecht;1 - 1;1-0;Beraberlik
2648224;Groningen - Utrecht;Utrecht;Deplasman;AVL;29 Oca;Celtic;Utrecht;4 - 2;3-1;Mağlubiyet
2648224;Groningen - Utrecht;Utrecht;Deplasman;HOL;25 Oca;Utrecht;S. Rotterdam;0 - 1;0-1;Mağlubiyet
2648224;Groningen - Utrecht;Utrecht;Deplasman;AVL;22 Oca;Utrecht;KRC Genk;0 - 2;0-0;Mağlubiyet
2664830;Liverpool - Brighton;Liverpool;Ev Sahibi;İNP;11 Şub;Sunderland;Liverpool;0 - 1;0-0;Galibiyet
2664830;Liverpool - Brighton;Liverpool;Ev Sahibi;İNP;8 Şub;Liverpool;Man. City;1 - 2;0-0;Mağlubiyet
