Tarih;Mac;Lig;Tahmin;Guven_Yuzdesi;Beklenen_Ev_Gol;Beklenen_Dep_Gol;1_Olasilik;X_Olasilik;2_Olasilik;Alt_2.5_Olasilik;Ust_2.5_Olasilik;Value_Bet;Value_Edge;Risk_Seviyesi;Kullanilan_Motor;Aciklama
2026-02-14;Fundacion F. Un Atleta - CD Hercules;;MS 1;81.69;2.63;0.53;81.69;12.50;5.24;39.44;60.56;EVET;6.50;🟢 Düşük Risk;poisson;[📊 Poisson] | ⚽ Beklenen: 2.6-0.5 | 💰 Piyasa gücü: Ev sahibi favori (fark: 46) | 📈 Ev sahibi formda ↑↑ | 🚀 Deplasman yükselen formda (+25) | 📈 Ev sahibi ligde üstün (5. vs 9.) | 💪 Ev sahibi güçlü (+45) | 📊 Son 3 maç gol ort: Ev 1.0 - Dep 1.3 | 🎯 En olası skor: 2-0 (%14.7)
2026-02-14;Club Olimpia - Rubio NU;;MS 1;75.23;2.53;0.76;75.23;15.20;9.12;36.56;63.44;HAYIR;2.23;🟢 Düşük Risk;poisson;[📊 Poisson] | ⚠️ Erken sezon (Hafta ~4): Puan tablosu güvenilirliği %44 — Bayesian sönümleme aktif, oranlar ağırlıklı | ⚽ Beklenen: 2.5-0.8 | 💰 Piyasa gücü: Ev sahibi favori (fark: 43) | 📈 Ev sahibi formda ↑↑ | 🚀 Ev sahibi yükselen formda (+15) | 📈 Ev sahibi ligde üstün (6. vs 10.) | 💪 Ev sahibi güçlü (+59) | 📜 H2H: 6 maç, ev %33 | 📊 Son 3 maç gol ort: Ev 2.0 - Dep 0.3 | 🎯 En olası skor: 2-0 (%11.9)
2026-02-14;Gil Vicente - Braga;;MS 2;66.79;0.76;2.02;13.04;20.05;66.79;47.54;52.46;EVET;13.60;🟢 Düşük Risk;poisson;[📊 Poisson] | ⚽ Beklenen: 0.8-2.0 | 💰 Piyasa gücü: Deplasman favori (fark: 19) | 📈 Deplasman formda ↗ | 💪 Deplasman güçlü (+16) | 👨‍⚖️ Hakem deplasmanı destekler (-15.0) | 📜 H2H: 6 maç, ev %50 | 📊 Son 3 maç gol ort: Ev 2.3 - Dep 2.3 | 🎯 En olası skor: 0-2 (%12.7)
2026-02-14;Dep. La Gua. - Caracas;;MS 1;64.64;2.09;0.90;64.64;19.99;15.23;42.67;57.33;HAYIR;-3.39;🟢 Düşük Risk;poisson;[📊 Poisson] | ⚠️ Erken sezon (Hafta ~2): Puan tablosu güvenilirliği %29 — Bayesian sönümleme aktif, oranlar ağırlıklı | ⚽ Beklenen: 2.1-0.9 | 💰 Piyasa gücü: Ev sahibi favori (fark: 38) | 📈 Ev sahibi formda ↑↑ | 💪 Ev sahibi güçlü (+28) | 📜 H2H: 6 maç, ev %33 ↑ dep trendi | 📊 Son 3 maç gol ort: Ev 2.0 - Dep 1.5 | 🎯 En olası skor: 2-0 (%11.0)
2026-02-14;Dep. Tachira - Trujillanos;;MS 1;63.18;1.79;0.71;63.18;22.42;14.34;54.22;45.78;HAYIR;-23.02;🟢 Düşük Risk;poisson;[📊 Poisson] | ⚠️ Erken sezon (Hafta ~2): Puan tablosu güvenilirliği %29 — Bayesian sönümleme aktif, oranlar ağırlıklı | ⚽ Beklenen: 1.8-0.7 | 💰 Piyasa gücü: Ev sahibi favori (fark: 61) | 📈 Ev sahibi formda ↗ | 🚀 Deplasman yükselen formda (+15) | 💪 Ev sahibi güçlü (+32) | 📜 H2H: 6 maç, ev %67 ↑ dep trendi ✓ tahminle uyumlu | 📊 Son 3 maç gol ort: Ev 0.7 - Dep 0.5 | 🎯 En olası skor: 1-0 (%14.6)
2026-02-14;Talleres - Gimnasia Y.;;MS 1;62.20;1.70;0.67;62.20;23.45;14.31;57.85;42.15;HAYIR;1.59;🟡 Orta Risk;poisson;[📊 Poisson] | ⚠️ Erken sezon (Hafta ~4): Puan tablosu güvenilirliği %44 — Bayesian sönümleme aktif, oranlar ağırlıklı | ⚽ Beklenen: 1.7-0.7 | 💰 Piyasa gücü: Ev sahibi favori (fark: 33) | 👨‍⚖️ Hakem evci (+35.0) ✓ tahminle uyumlu | 📊 Son 3 maç gol ort: Ev 1.3 - Dep 0.3 | 🎯 En olası skor: 1-0 (%15.9)
2026-02-14;Paksi - Diosgyör;;MS 1;57.83;2.11;1.21;57.83;20.68;21.33;35.52;64.48;HAYIR;-8.84;🟢 Düşük Risk;poisson;[📊 Poisson] | ⚠️ Erken sezon (Hafta ~1): Puan tablosu güvenilirliği %0 — Bayesian sönümleme aktif, oranlar ağırlıklı | ⚽ Beklenen: 2.1-1.2 | 💰 Piyasa gücü: Ev sahibi favori (fark: 33) | 📜 H2H: 6 maç, ev %50 ↑ dep trendi | 📊 Son 3 maç gol ort: Ev 0.7 - Dep 1.3 | 🎯 En olası skor: 2-1 (%9.7)
2026-02-14;Juan Pablo II - S. Cristal;;MS 2;56.55;1.52;2.39;23.82;19.28;56.55;25.56;74.44;HAYIR;4.74;🟡 Orta Risk;poisson;[📊 Poisson] | ⚠️ Erken sezon (Hafta ~2): Puan tablosu güvenilirliği %29 — Bayesian sönümleme aktif, oranlar ağırlıklı | ⚽ Beklenen: 1.5-2.4 | 💰 Piyasa gücü: Deplasman favori (fark: 14) | 📊 Son 3 maç gol ort: Ev 2.0 - Dep 1.7 | 🎯 En olası skor: 1-2 (%8.7)
2026-02-14;Municipal L. - Fuerte San Francisco;;MS 1;55.35;1.28;0.52;55.35;29.52;15.12;73.07;26.93;HAYIR;-5.63;🟢 Düşük Risk;poisson;[📊 Poisson] | ⚽ Beklenen: 1.3-0.5 | 💰 Piyasa gücü: Ev sahibi favori (fark: 30) | 📈 Ev sahibi formda ↗ | 💪 Ev sahibi güçlü (+18) | 📜 H2H: 6 maç, ev %17 | 📊 Son 3 maç gol ort: Ev 0.7 - Dep 0.7 | 🎯 En olası skor: 1-0 (%21.1)
2026-02-14;CA Huracan - CA Sarmiento;;MS 1;50.82;1.35;0.76;50.82;28.07;21.10;64.48;35.52;HAYIR;-11.29;🟢 Düşük Risk;poisson;[📊 Poisson] | ⚠️ Erken sezon (Hafta ~4): Puan tablosu güvenilirliği %44 — Bayesian sönümleme aktif, oranlar ağırlıklı | ⚽ Beklenen: 1.4-0.8 | 💰 Piyasa gücü: Ev sahibi favori (fark: 35) | 📜 H2H: 6 maç, ev %50 ↑ ev trendi | 📊 Son 3 maç gol ort: Ev 1.0 - Dep 1.3 | 🎯 En olası skor: 1-0 (%16.3)
2026-02-14;Guadalupe - AD San Carlos;;MS 2;50.64;0.82;1.40;21.92;27.43;50.64;61.90;38.10;EVET;14.93;🟢 Düşük Risk;poisson;[📊 Poisson] | ⚽ Beklenen: 0.8-1.4 | 💰 Piyasa gücü: Ev sahibi favori (fark: 12) | 📈 Deplasman formda ↗ | 📈 Deplasman ligde üstün (6. vs 10.) | 💪 Deplasman güçlü (+28) | 📜 H2H: 6 maç, ev %50 ↑ dep trendi | 📊 Son 3 maç gol ort: Ev 0.7 - Dep 0.7 | 🎯 En olası skor: 0-1 (%15.3)
2026-02-14;Sport Boys - Atl Grau;;MS 1;47.51;1.33;0.86;47.51;28.15;24.33;62.46;37.54;HAYIR;-5.68;🟡 Orta Risk;poisson;[📊 Poisson] | ⚠️ Erken sezon (Hafta ~2): Puan tablosu güvenilirliği %29 — Bayesian sönümleme aktif, oranlar ağırlıklı | ⚽ Beklenen: 1.3-0.9 | 💰 Piyasa gücü: Ev sahibi favori (fark: 18) | 📜 H2H: 6 maç, ev %17 | 📊 Son 3 maç gol ort: Ev 1.0 - Dep 0.0 | 🎯 En olası skor: 1-0 (%14.8)
2026-02-14;Pachuca - Atlas;;MS 1;45.59;1.07;0.63;45.59;32.82;21.59;75.64;24.36;HAYIR;-20.20;🟢 Düşük Risk;poisson;[📊 Poisson] | ⚽ Beklenen: 1.1-0.6 | 💰 Piyasa gücü: Ev sahibi favori (fark: 34) | 🚀 Deplasman yükselen formda (+12) | 📜 H2H: 6 maç, ev %50 | 📊 Son 3 maç gol ort: Ev 0.7 - Dep 1.3 | 🎯 En olası skor: 1-0 (%19.5)
2026-02-14;Agropecuario A. - CD Maipu;;MS X;45.01;0.72;0.26;42.78;45.01;12.21;92.40;7.60;EVET;7.98;🟡 Orta Risk;poisson;[📊 Poisson] | ⚠️ Erken sezon (Hafta ~1): Puan tablosu güvenilirliği %0 — Bayesian sönümleme aktif, oranlar ağırlıklı | ⚽ Beklenen: 0.7-0.3 | 💰 Piyasa gücü: Ev sahibi favori (fark: 25) | 📜 H2H: 5 maç, ev %40 | 🎯 En olası skor: 0-0 (%37.7)
2026-02-14;Colon - Dep. Madryn;;MS X;42.59;0.64;0.53;32.30;42.59;25.12;88.69;11.31;HAYIR;1.94;🟡 Orta Risk;poisson;[📊 Poisson] | ⚠️ Erken sezon (Hafta ~1): Puan tablosu güvenilirliği %0 — Bayesian sönümleme aktif, oranlar ağırlıklı | ⚽ Beklenen: 0.6-0.5 | 📊 Son 3 maç gol ort: Ev 1.0 - Dep 0.0 | 🎯 En olası skor: 0-0 (%31.2)
2026-02-14;Millonarios - Llaneros;;MS 1;42.50;0.98;0.63;42.50;34.41;23.09;78.09;21.91;HAYIR;-32.13;🟡 Orta Risk;poisson;[📊 Poisson] | ⚽ Beklenen: 1.0-0.6 | 💰 Piyasa gücü: Ev sahibi favori (fark: 47) | 📈 Deplasman ligde üstün (9. vs 13.) | 💪 Deplasman güçlü (+17) | 👨‍⚖️ Hakem evci (+35.0) ✓ tahminle uyumlu | 📜 H2H: 6 maç, ev %17 ↑ dep trendi | 📊 Son 3 maç gol ort: Ev 0.3 - Dep 0.7 | 🎯 En olası skor: 0-0 (%20.0)
2026-02-14;Atl San Luis - Queretaro;;MS 1;42.21;1.42;1.19;42.21;26.11;31.67;51.49;48.51;HAYIR;-18.76;🟡 Orta Risk;poisson;[📊 Poisson] | ⚽ Beklenen: 1.4-1.2 | 💰 Piyasa gücü: Ev sahibi favori (fark: 27) | 👨‍⚖️ Hakem deplasmanı destekler (-15.0) | 📜 H2H: 6 maç, ev %100 ↑ ev trendi ✓ tahminle uyumlu | 📊 Son 3 maç gol ort: Ev 1.3 - Dep 1.0 | 🎯 En olası skor: 1-1 (%12.4)
