iter	MultiClass
0	1.09200755
1	1.085191664
2	1.079916595
3	1.07306684
4	1.066922024
5	1.061078018
6	1.054222139
7	1.047872677
8	1.041761635
9	1.03628286
10	1.030351142
11	1.024327973
12	1.01819504
13	1.012223285
14	1.007257803
15	1.002234365
16	0.9973037603
17	0.9908434618
18	0.9850322511
19	0.9787060955
20	0.9726891519
21	0.9670515551
22	0.9614818442
23	0.9560680717
24	0.9516877803
25	0.9461405922
26	0.9406394855
27	0.9355240902
28	0.9294086161
29	0.924076846
30	0.9184255423
31	0.9136592442
32	0.9077819197
33	0.9026030104
34	0.89721333
35	0.8924678165
36	0.88652961
37	0.8817733577
38	0.8768932022
39	0.8722866885
40	0.8676252491
41	0.8627908269
42	0.8582280799
43	0.8530356085
44	0.8490099527
45	0.8442395394
46	0.8395813619
47	0.834666871
48	0.8302968011
49	0.8252489227
50	0.820508478
51	0.8158093266
52	0.8113791701
53	0.8072650772
54	0.8028058051
55	0.7984374601
56	0.7944091003
57	0.7912876699
58	0.7869294411
59	0.782813196
60	0.7781967383
61	0.7736944616
62	0.7701684767
63	0.7662187031
64	0.7620201825
65	0.7583583439
66	0.7547178572
67	0.750790631
68	0.746006141
69	0.7427592994
70	0.7389706935
71	0.7349648898
72	0.7314157437
73	0.7275807239
74	0.7237916178
75	0.7205242505
76	0.7164684739
77	0.7125998127
78	0.7092074764
79	0.7057963815
80	0.70205226
81	0.6985966306
82	0.6948506564
83	0.6911187986
84	0.6877850107
85	0.6842308578
86	0.6807056591
87	0.6777055876
88	0.6746830829
89	0.6714345056
90	0.667846207
91	0.6643471103
92	0.6610204967
93	0.657417522
94	0.6543624576
95	0.6509349839
96	0.6480078273
97	0.6446700499
98	0.6417629874
99	0.638090854
100	0.6346213819
101	0.6320548603
102	0.628529079
103	0.6252738759
104	0.6221742105
105	0.6189842648
106	0.6160763502
107	0.6131005729
108	0.610077025
109	0.607575314
110	0.6050176211
111	0.6019019142
112	0.5993772056
113	0.5964758879
114	0.5939278835
115	0.5912569206
116	0.5883762849
117	0.5853905916
118	0.5823257777
119	0.5793595054
120	0.5774528534
121	0.5753730936
122	0.5725123754
123	0.5697825741
124	0.5672482875
125	0.5642141592
126	0.561808805
127	0.5591961903
128	0.5565786887
129	0.554007213
130	0.5517113282
131	0.5491093149
132	0.5464551846
133	0.5438206498
134	0.54143888
135	0.5392484917
136	0.5364436904
137	0.5337941436
138	0.5315629249
139	0.5292130166
140	0.5267846774
141	0.524231735
142	0.5216421544
143	0.519219065
144	0.5167625177
145	0.5146511048
146	0.5126425065
147	0.5103385948
148	0.5084166545
149	0.5061660123
150	0.5040278528
151	0.5018649706
152	0.4996363077
153	0.4976748707
154	0.4956603845
155	0.4933582525
156	0.4911284352
157	0.4889228328
158	0.4870931888
159	0.4857601544
160	0.4839389531
161	0.4821381194
162	0.4799930342
163	0.4780140416
164	0.4760595425
165	0.4742248167
166	0.4720639924
167	0.4698032922
168	0.4677707951
169	0.4658015558
170	0.4635492915
171	0.4615125963
172	0.4592818362
173	0.4575754447
174	0.4555766855
175	0.4536750924
