iter	Passed	Remaining
0	21	3809
1	40	3507
2	65	3772
3	83	3599
4	101	3462
5	119	3380
6	138	3352
7	157	3313
8	178	3318
9	197	3282
10	217	3255
11	235	3220
12	254	3191
13	273	3165
14	293	3149
15	313	3135
16	336	3148
17	355	3118
18	378	3130
19	396	3090
20	414	3056
21	431	3022
22	451	3004
23	470	2977
24	488	2950
25	505	2918
26	525	2902
27	543	2873
28	562	2853
29	581	2828
30	598	2801
31	619	2786
32	637	2760
33	659	2753
34	677	2728
35	695	2704
36	712	2678
37	732	2658
38	749	2632
39	771	2624
40	789	2600
41	810	2587
42	829	2566
43	847	2542
44	865	2520
45	884	2499
46	902	2476
47	920	2455
48	939	2435
49	963	2427
50	982	2407
51	999	2384
52	1017	2362
53	1035	2340
54	1055	2321
55	1074	2303
56	1093	2282
57	1110	2260
58	1129	2239
59	1146	2215
60	1164	2195
61	1182	2174
62	1200	2152
63	1222	2139
64	1246	2127
65	1267	2112
66	1284	2090
67	1303	2070
68	1321	2048
69	1339	2028
70	1356	2006
71	1375	1986
72	1392	1964
73	1411	1945
74	1428	1924
75	1448	1906
76	1466	1885
77	1483	1863
78	1501	1843
79	1518	1822
80	1537	1803
81	1555	1783
82	1572	1762
83	1589	1741
84	1607	1721
85	1625	1701
86	1644	1682
87	1662	1662
88	1679	1641
89	1696	1621
90	1713	1600
91	1732	1581
92	1748	1560
93	1772	1546
94	1789	1525
95	1813	1511
96	1832	1492
97	1857	1478
98	1875	1458
99	1892	1438
100	1910	1418
101	1928	1399
102	1945	1378
103	1972	1365
104	1989	1345
105	2008	1326
106	2026	1306
107	2043	1286
108	2060	1266
109	2079	1247
110	2096	1227
111	2114	1208
112	2132	1188
113	2149	1169
114	2173	1153
115	2190	1133
116	2208	1113
117	2225	1093
118	2244	1075
119	2262	1056
120	2281	1036
121	2298	1017
122	2315	997
123	2333	978
124	2351	959
125	2368	940
126	2386	920
127	2403	901
128	2422	882
129	2447	865
130	2465	846
131	2482	827
132	2499	808
133	2517	789
134	2535	770
135	2553	751
136	2571	732
137	2589	713
138	2607	694
139	2626	675
140	2643	656
141	2661	637
142	2679	618
143	2697	599
144	2714	580
145	2733	561
146	2755	543
147	2772	524
148	2790	505
149	2808	486
150	2824	467
151	2842	448
152	2864	430
153	2882	411
154	2900	392
155	2917	374
156	2935	355
157	2953	336
158	2970	317
159	2988	298
160	3008	280
161	3026	261
162	3047	243
163	3065	224
164	3082	205
165	3099	186
166	3117	167
167	3134	149
168	3152	130
169	3170	111
170	3187	93
171	3206	74
172	3224	55
173	3242	37
174	3260	18
175	3279	0
